id,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
78,412.0,0.304,11.3,0.397,0.311
2247,14600.0,8.8,401.0,11.5,8.8
4570,14900.0,17.9,409.0,23.3,17.9
3656,15300.0,14.3,422.0,18.7,14.3
4151,15300.0,16.2,421.0,21.2,16.3
3378,15300.0,13.2,420.0,17.2,13.2
2279,14600.0,8.92,402.0,11.6,8.93
2598,14900.0,10.2,410.0,13.3,10.2
4159,15300.0,16.3,421.0,21.2,16.3
3870,15400.0,15.1,422.0,19.8,15.2
3428,15300.0,13.4,421.0,17.5,13.4
2176,14500.0,8.52,398.0,11.1,8.52
424,3600.0,1.66,99.1,2.16,1.67
392,3080.0,1.53,84.7,2.0,1.54
4726,14300.0,18.5,392.0,24.1,18.5
3693,15300.0,14.5,422.0,18.9,14.5
104,578.0,0.406,15.9,0.53,0.413
3994,15300.0,15.6,422.0,20.4,15.6
4412,15200.0,17.3,417.0,22.5,17.3
1948,14200.0,7.62,390.0,9.95,7.63
1459,13100.0,5.71,361.0,7.45,5.72
3257,15300.0,12.7,419.0,16.6,12.8
2803,15000.0,11.0,414.0,14.3,11.0
2706,15000.0,10.6,412.0,13.8,10.6
4789,13900.0,18.7,381.0,24.5,18.8
1587,13500.0,6.21,370.0,8.1,6.22
3659,15300.0,14.3,422.0,18.7,14.3
1731,13800.0,6.78,379.0,8.84,6.78
4764,14000.0,18.6,386.0,24.3,18.7
4224,15300.0,16.5,421.0,21.6,16.5
3681,15300.0,14.4,422.0,18.8,14.4
1791,13900.0,7.01,382.0,9.14,7.02
2355,14700.0,9.22,404.0,12.0,9.22
1940,14200.0,7.59,389.0,9.9,7.6
702,8580.0,2.75,236.0,3.58,2.75
2442,14800.0,9.56,406.0,12.5,9.56
4375,15200.0,17.1,418.0,22.3,17.1
496,4690.0,1.94,129.0,2.53,1.95
464,4180.0,1.82,115.0,2.37,1.82
4071,15300.0,15.9,422.0,20.8,15.9
4333,15300.0,17.0,419.0,22.1,17.0
172,1050.0,0.673,28.9,0.878,0.679
4943,11600.0,19.3,319.0,25.2,19.4
4796,13800.0,18.8,379.0,24.5,18.8
2540,14900.0,9.94,408.0,13.0,9.95
3262,15300.0,12.8,419.0,16.7,12.8
4680,14500.0,18.3,399.0,23.9,18.3
2260,14600.0,8.85,401.0,11.5,8.85
2112,14400.0,8.27,396.0,10.8,8.27
900,12100.0,3.52,334.0,4.59,3.53
1446,13100.0,5.66,360.0,7.38,5.67
3573,15300.0,14.0,421.0,18.2,14.0
741,9380.0,2.9,258.0,3.78,2.91
2293,14600.0,8.98,402.0,11.7,8.98
2452,14800.0,9.6,406.0,12.5,9.6
2622,14900.0,10.3,410.0,13.4,10.3
4078,15300.0,16.0,422.0,20.8,16.0
1206,12500.0,4.72,343.0,6.16,4.73
509,4900.0,1.99,135.0,2.6,2.0
2620,14900.0,10.3,410.0,13.4,10.3
2802,15000.0,11.0,414.0,14.3,11.0
3313,15300.0,13.0,420.0,16.9,13.0
1549,13400.0,6.06,368.0,7.91,6.07
4563,14900.0,17.9,410.0,23.3,17.9
2202,14500.0,8.62,399.0,11.2,8.62
2566,14900.0,10.0,409.0,13.1,10.0
3892,15400.0,15.2,422.0,19.9,15.2
2044,14300.0,8.0,394.0,10.4,8.01
767,9920.0,3.0,273.0,3.92,3.01
4872,13000.0,19.1,357.0,24.9,19.1
3738,15300.0,14.6,422.0,19.1,14.6
421,3550.0,1.65,97.6,2.15,1.65
123,674.0,0.481,18.5,0.627,0.487
4162,15300.0,16.3,421.0,21.2,16.3
2628,14900.0,10.3,410.0,13.4,10.3
819,10900.0,3.21,301.0,4.18,3.21
1403,13000.0,5.49,357.0,7.16,5.5
1382,12900.0,5.41,355.0,7.06,5.42
2148,14500.0,8.41,397.0,11.0,8.41
1575,13400.0,6.16,369.0,8.04,6.17
1638,13600.0,6.41,373.0,8.36,6.42
1795,13900.0,7.03,382.0,9.16,7.03
4815,13600.0,18.8,375.0,24.6,18.9
399,3190.0,1.56,87.7,2.04,1.57
2310,14600.0,9.04,403.0,11.8,9.05
882,12000.0,3.45,330.0,4.5,3.46
4973,10700.0,19.5,293.0,25.4,19.5
2897,15100.0,11.3,415.0,14.8,11.3
1352,12800.0,5.29,352.0,6.9,5.3
2742,15000.0,10.7,413.0,14.0,10.7
4550,14900.0,17.8,411.0,23.2,17.8
2130,14400.0,8.34,397.0,10.9,8.34
982,12300.0,3.84,338.0,5.01,3.85
456,4050.0,1.78,111.0,2.33,1.79
4119,15300.0,16.1,422.0,21.0,16.1
1079,12300.0,4.22,339.0,5.51,4.23
1950,14200.0,7.63,390.0,9.96,7.64
4314,15300.0,16.9,420.0,22.0,16.9
689,8310.0,2.7,228.0,3.52,2.7
2429,14800.0,9.51,406.0,12.4,9.51
641,7340.0,2.51,202.0,3.27,2.51
2392,14700.0,9.36,405.0,12.2,9.37
1953,14200.0,7.64,390.0,9.97,7.65
2748,15000.0,10.8,413.0,14.0,10.8
4313,15300.0,16.9,420.0,22.0,16.9
3435,15300.0,13.4,421.0,17.5,13.5
3336,15300.0,13.1,420.0,17.0,13.1
4766,14000.0,18.7,386.0,24.3,18.7
3370,15300.0,13.2,420.0,17.2,13.2
1884,14100.0,7.37,387.0,9.62,7.38
389,3040.0,1.52,83.5,1.99,1.53
2494,14800.0,9.76,408.0,12.7,9.77
3878,15400.0,15.2,422.0,19.8,15.2
3856,15400.0,15.1,422.0,19.7,15.1
845,11400.0,3.31,314.0,4.31,3.31
542,5470.0,2.12,150.0,2.77,2.13
91,520.0,0.356,14.3,0.464,0.362
3889,15400.0,15.2,422.0,19.9,15.2
1979,14200.0,7.75,391.0,10.1,7.75
2812,15100.0,11.0,414.0,14.4,11.0
